id,building_reference_number,price,inspection_date,date_of_transfer,address,property_type,new_build,local_authority_label,constituency_label,posttown,construction_age_band,postcode,current_energy_rating,potential_energy_rating,current_energy_efficiency,potential_energy_efficiency,built_form,transaction_type,environment_impact_current,environment_impact_potential,energy_consumption_current,energy_consumption_potential,co2_emissions_current,co2_emiss_curr_per_floor_area,co2_emissions_potential,lighting_cost_current,lighting_cost_potential,heating_cost_current,heating_cost_potential,hot_water_cost_current,hot_water_cost_potential,total_floor_area,energy_tariff,mains_gas_flag,glazed_type,glazed_area,extension_count,number_habitable_rooms,number_heated_rooms,low_energy_lighting,number_open_fireplaces,hotwater_description,hot_water_energy_eff,hot_water_env_eff,floor_description,windows_description,windows_energy_eff,windows_env_eff,walls_description,walls_energy_eff,walls_env_eff,roof_description,roof_energy_eff,roof_env_eff,mainheat_description,mainheat_energy_eff,mainheat_env_eff,mainheatcont_description,mainheatc_energy_eff,mainheatc_env_eff,lighting_description,lighting_energy_eff,lighting_env_eff,main_fuel,tenure
15,10000730383,275000,2021-02-24,2021-05-13T00:00:00Z,"75 OVAL ROAD NORTH, DAGENHAM",House,N,Barking and Dagenham,Dagenham and Rainham,DAGENHAM,England and Wales: 1930-1949,RM10 9ET,F,B,25,91,Mid-Terrace,marketed sale,36,91,439,35,5.3,75,0.5,59,59,1655,265,86,63,70,off-peak 7 hour,Y,not defined,Normal,1,4,1,100,0,Gas multipoint,Average,Average,"Suspended, no insulation (assumed)",Single glazed,Very Poor,Very Poor,"Solid brick, as built, no insulation (assumed)",Very Poor,Very Poor,"Pitched, 150 mm loft insulation",Good,Good,Portable electric heaters assumed for most rooms,Very Poor,Poor,No thermostatic control of room temperature,Poor,Poor,Low energy lighting in all fixed outlets,Very Good,Very Good,mains gas (not community),Owner-occupied
16,10000285008,315000,2021-02-20,2021-04-09T00:00:00Z,"186 BONHAM ROAD, DAGENHAM",House,N,Barking and Dagenham,Barking,DAGENHAM,England and Wales: 1950-1966,RM8 3BJ,D,B,63,83,End-Terrace,marketed sale,62,83,244,88,2.7,43,1,86,54,533,428,87,59,63,off-peak 7 hour,Y,double glazing installed during or after 2002,Normal,1,3,3,40,0,From main system,Good,Good,"Suspended, no insulation (assumed)",Fully double glazed,Good,Good,"Cavity wall, as built, no insulation (assumed)",Poor,Poor,"Pitched, 300 mm loft insulation",Very Good,Very Good,"Boiler and radiators, mains gas",Good,Good,"Programmer, room thermostat and TRVs",Good,Good,Low energy lighting in 40% of fixed outlets,Average,Average,mains gas (not community),Owner-occupied
18,10000109653,305500,2021-03-11,2021-06-11T00:00:00Z,"169 HUNTERS HALL ROAD, DAGENHAM",House,N,Barking and Dagenham,Barking,DAGENHAM,England and Wales: 1930-1949,RM10 8LH,D,B,66,88,Mid-Terrace,marketed sale,66,90,219,45,2.4,38,0.5,54,54,510,340,74,48,64,off-peak 7 hour,Y,"double glazing, unknown install date",Normal,0,3,3,100,0,From main system,Good,Good,"Suspended, no insulation (assumed)",Fully double glazed,Average,Average,"Solid brick, as built, no insulation (assumed)",Very Poor,Very Poor,"Pitched, 75 mm loft insulation",Average,Average,"Boiler and radiators, mains gas",Good,Good,"Programmer, room thermostat and TRVs",Good,Good,Low energy lighting in all fixed outlets,Very Good,Very Good,mains gas (not community),Owner-occupied
19,10000443622,320000,2021-01-06,2021-04-22T00:00:00Z,"89 MAXEY ROAD, DAGENHAM",House,N,Barking and Dagenham,Barking,DAGENHAM,England and Wales: 1950-1966,RM9 5HU,D,B,64,82,Mid-Terrace,marketed sale,60,78,239,111,3,42,1.4,60,60,534,450,89,63,72,off-peak 10 hour,Y,"double glazing, unknown install date",Normal,1,4,4,100,0,From main system,Good,Good,"Suspended, no insulation (assumed)",Fully double glazed,Average,Average,"Cavity wall, as built, no insulation (assumed)",Poor,Poor,"Pitched, 100 mm loft insulation",Average,Average,"Boiler and radiators, mains gas",Good,Good,"Programmer, room thermostat and TRVs",Good,Good,Low energy lighting in all fixed outlets,Very Good,Very Good,mains gas (not community),Owner-occupied
21,10000670234,435000,2021-01-19,2021-01-20T00:00:00Z,"55 BLAKE AVENUE, BARKING",House,N,Barking and Dagenham,Barking,BARKING,England and Wales: 1930-1949,IG11 9SG,D,B,67,82,End-Terrace,marketed sale,64,78,202,104,3.1,36,1.6,120,69,494,468,104,72,86,off-peak 7 hour,Y,"double glazing, unknown install date",Normal,0,5,5,27,1,From main system,Good,Good,"Solid, no insulation (assumed)",Fully double glazed,Average,Average,"Cavity wall, filled cavity",Average,Average,"Pitched, 150 mm loft insulation",Good,Good,"Boiler and radiators, mains gas",Good,Good,"Programmer, room thermostat and TRVs",Good,Good,Low energy lighting in 27% of fixed outlets,Average,Average,mains gas (not community),Owner-occupied
22,10000193021,342500,2021-03-24,2021-05-14T00:00:00Z,"137 ST AWDRYS ROAD, BARKING",House,N,Barking and Dagenham,Barking,BARKING,England and Wales: 1900-1929,IG11 7QE,D,B,67,88,Mid-Terrace,marketed sale,64,88,209,54,2.9,37,0.8,129,64,469,323,104,71,79,off-peak 7 hour,Y,"double glazing, unknown install date",Normal,0,4,4,0,0,From main system,Good,Good,"Suspended, no insulation (assumed)",Fully double glazed,Average,Average,"Solid brick, as built, no insulation (assumed)",Very Poor,Very Poor,"Pitched, 150 mm loft insulation",Good,Good,"Boiler and radiators, mains gas",Good,Good,"Programmer, room thermostat and TRVs",Good,Good,No low energy lighting,Very Poor,Very Poor,mains gas (not community),Owner-occupied
23,10000011749,308000,2021-03-10,2021-04-14T00:00:00Z,"1 ESSEX ROAD, BARKING",House,N,Barking and Dagenham,Barking,BARKING,England and Wales: 1900-1929,IG11 7QN,F,B,22,89,Mid-Terrace,marketed sale,33,88,451,51,6,76,0.7,130,65,1669,309,401,66,79,off-peak 10 hour,Y,"double glazing, unknown install date",Normal,0,3,0,0,0,"Electric immersion, standard tariff",Very Poor,Poor,"Suspended, no insulation (assumed)",Fully double glazed,Average,Average,"Solid brick, as built, no insulation (assumed)",Very Poor,Very Poor,"Pitched, 50 mm loft insulation",Poor,Poor,No system present: electric heaters assumed,Very Poor,Poor,None,Very Poor,Very Poor,No low energy lighting,Very Poor,Very Poor,To be used only when there is no heating/hot-water system or data is from a community network,Owner-occupied
25,10001059378,515000,2021-04-14,2021-06-23T00:00:00Z,"32 CRANLEIGH GARDENS, BARKING",House,N,Barking and Dagenham,Barking,BARKING,England and Wales: 1930-1949,IG11 9TJ,C,B,69,82,Mid-Terrace,marketed sale,64,78,171,92,3.8,31,2.1,86,86,658,555,103,72,124,Single,Y,double glazing installed during or after 2002,More Than Typical,1,5,5,100,0,From main system,Good,Good,"Suspended, no insulation (assumed)",Fully double glazed,Good,Good,"Solid brick, as built, no insulation (assumed)",Very Poor,Very Poor,"Pitched, no insulation (assumed)",Very Poor,Very Poor,"Boiler and radiators, mains gas",Good,Good,"Programmer, room thermostat and TRVs",Good,Good,Low energy lighting in all fixed outlets,Very Good,Very Good,mains gas (not community),Owner-occupied
27,10000967795,300000,2021-05-06,2021-07-13T00:00:00Z,"18 FINNYMORE ROAD, DAGENHAM",House,N,Barking and Dagenham,Barking,DAGENHAM,England and Wales: 1950-1966,RM9 6JA,D,B,59,85,Mid-Terrace,marketed sale,53,83,295,82,3.3,52,1,54,54,593,369,87,59,64,Single,Y,double glazing installed before 2002,Normal,0,3,3,100,1,From main system,Good,Good,"Suspended, no insulation (assumed)",Fully double glazed,Average,Average,"Cavity wall, as built, no insulation (assumed)",Poor,Poor,"Pitched, 75 mm loft insulation",Average,Average,"Boiler and radiators, mains gas",Good,Good,"Programmer, no room thermostat",Very Poor,Very Poor,Low energy lighting in all fixed outlets,Very Good,Very Good,mains gas (not community),Owner-occupied
28,10000916822,315000,2021-04-05,2021-03-24T00:00:00Z,"119 MOVERS LANE, BARKING",House,N,Barking and Dagenham,Barking,BARKING,England and Wales: 1930-1949,IG11 7UQ,D,B,58,86,End-Terrace,rental,52,85,304,73,3.4,54,0.9,84,54,584,347,92,63,64,Single,Y,"double glazing, unknown install date",Normal,0,4,4,44,0,From main system,Good,Good,"Suspended, no insulation (assumed)",Fully double glazed,Average,Average,"Solid brick, as built, no insulation (assumed)",Very Poor,Very Poor,"Pitched, 50 mm loft insulation",Poor,Poor,"Boiler and radiators, mains gas",Good,Good,Programmer and room thermostat,Average,Average,Low energy lighting in 44% of fixed outlets,Average,Average,mains gas (not community),Rented (private)
29,10001201404,440000,2021-05-07,2021-06-30T00:00:00Z,"9 EASTBROOK AVENUE, DAGENHAM",House,N,Barking and Dagenham,Dagenham and Rainham,DAGENHAM,England and Wales: 1930-1949,RM10 7UL,D,B,67,83,End-Terrace,marketed sale,63,80,208,95,3.3,37,1.6,84,84,578,463,87,59,91,Single,Y,"double glazing, unknown install date",More Than Typical,2,4,4,83,0,From main system,Good,Good,"Suspended, no insulation (assumed)",Fully double glazed,Average,Average,"Solid brick, as built, no insulation (assumed)",Poor,Poor,"Pitched, 100 mm loft insulation",Average,Average,"Boiler and radiators, mains gas",Good,Good,"Programmer, room thermostat and TRVs",Good,Good,Low energy lighting in 83% of fixed outlets,Very Good,Very Good,mains gas (not community),Owner-occupied
30,10001194585,190000,2021-04-22,2021-03-05T00:00:00Z,"83 MAYBURY ROAD, BARKING",Flat,N,Barking and Dagenham,Barking,BARKING,England and Wales: 1950-1966,IG11 0PG,C,C,76,76,Semi-Detached,rental,79,79,162,162,1.3,28,1.3,40,40,248,248,70,70,45,Unknown,Y,"double glazing, unknown install date",Normal,0,2,2,100,0,From main system,Good,Good,(another dwelling below),Fully double glazed,Average,Average,"Cavity wall, filled cavity",Average,Average,"Pitched, 270 mm loft insulation",Good,Good,"Boiler and radiators, mains gas",Good,Good,"Programmer, room thermostat and TRVs",Good,Good,Low energy lighting in all fixed outlets,Very Good,Very Good,mains gas (not community),Rented (private)
33,10000412663,351000,2021-01-25,2021-04-21T00:00:00Z,"59 RUSHOLME AVENUE, DAGENHAM",House,N,Barking and Dagenham,Dagenham and Rainham,DAGENHAM,England and Wales: 1950-1966,RM10 7ND,C,B,72,88,Mid-Terrace,marketed sale,71,88,187,60,2.2,33,0.7,56,56,386,330,82,56,66,off-peak 10 hour,Y,"double glazing, unknown install date",Normal,1,5,5,100,0,From main system,Good,Good,"Solid, no insulation (assumed)",Fully double glazed,Average,Average,"Cavity wall, filled cavity",Average,Average,"Pitched, 50 mm loft insulation",Poor,Poor,"Boiler and radiators, mains gas",Good,Good,"Programmer, room thermostat and TRVs",Good,Good,Low energy lighting in all fixed outlets,Very Good,Very Good,mains gas (not community),Owner-occupied
34,10000569697,330000,2020-10-28,2021-02-25T00:00:00Z,"33 BREWOOD ROAD, DAGENHAM",House,N,Barking and Dagenham,Barking,DAGENHAM,England and Wales: 1950-1966,RM8 2BL,E,B,53,86,Mid-Terrace,marketed sale,46,84,335,79,4.1,59,1,80,58,698,362,86,62,69,off-peak 7 hour,Y,"double glazing, unknown install date",Normal,0,4,3,63,0,Gas multipoint,Average,Average,"Suspended, no insulation (assumed)",Fully double glazed,Average,Average,"Cavity wall, as built, no insulation (assumed)",Poor,Poor,"Pitched, 300 mm loft insulation",Very Good,Very Good,"Room heaters, mains gas",Average,Average,No thermostatic control of room temperature,Poor,Poor,Low energy lighting in 63% of fixed outlets,Good,Good,mains gas (not community),Owner-occupied
35,10000116899,242500,2021-01-28,2021-03-16T00:00:00Z,"19 ENDEAVOUR WAY, BARKING",Maisonette,N,Barking and Dagenham,Barking,BARKING,England and Wales: 1900-1929,IG11 0PF,D,C,64,73,Mid-Terrace,rental,58,71,244,166,3.4,43,2.3,74,74,580,396,109,96,80,off-peak 7 hour,Y,"double glazing, unknown install date",Less Than Typical,0,3,3,100,0,From main system,Good,Good,(another dwelling below),Fully double glazed,Average,Average,"Solid brick, as built, no insulation (assumed)",Very Poor,Very Poor,"Pitched, no insulation (assumed)",Very Poor,Very Poor,"Boiler and radiators, mains gas",Good,Good,Programmer and room thermostat,Average,Average,Low energy lighting in all fixed outlets,Very Good,Very Good,mains gas (not community),Rented (social)
37,10000450167,350000,2021-02-11,2021-02-25T00:00:00Z,"273 BENNETTS CASTLE LANE, DAGENHAM",House,N,Barking and Dagenham,Barking,DAGENHAM,England and Wales: 1930-1949,RM8 3YL,D,B,65,88,Semi-Detached,rental,60,87,225,60,3.4,40,0.9,86,69,580,351,94,67,86,off-peak 7 hour,Y,"double glazing, unknown install date",Normal,0,5,5,75,0,From main system,Good,Good,"Solid, no insulation (assumed)",Fully double glazed,Average,Average,"Solid brick, as built, no insulation (assumed)",Very Poor,Very Poor,"Pitched, 200 mm loft insulation",Good,Good,"Boiler and radiators, mains gas",Good,Good,"Programmer, room thermostat and TRVs",Good,Good,Low energy lighting in 75% of fixed outlets,Very Good,Very Good,mains gas (not community),Rented (private)
38,10000658864,335000,2021-02-14,2021-05-27T00:00:00Z,"54 BROAD STREET, DAGENHAM",House,N,Barking and Dagenham,Dagenham and Rainham,DAGENHAM,England and Wales: 1930-1949,RM10 9HP,D,B,60,81,Mid-Terrace,marketed sale,57,80,259,103,3.3,45,1.3,61,61,671,492,94,64,73,off-peak 7 hour,Y,not defined,Much More Than Typical,2,3,2,100,0,From main system,Good,Good,"Suspended, no insulation (assumed)",Mostly double glazing,Average,Average,"Cavity wall, filled cavity",Average,Average,"Pitched, 250 mm loft insulation",Good,Good,"Boiler and radiators, mains gas",Good,Good,Programmer and room thermostat,Average,Average,Low energy lighting in all fixed outlets,Very Good,Very Good,mains gas (not community),Owner-occupied
39,10000458596,310000,2021-02-06,2021-06-16T00:00:00Z,"28 GORING GARDENS, DAGENHAM",House,N,Barking and Dagenham,Barking,DAGENHAM,England and Wales: 1976-1982,RM8 2AD,D,B,63,88,Mid-Terrace,marketed sale,58,87,253,60,3.2,45,0.8,59,59,546,333,114,64,71,off-peak 7 hour,Y,"double glazing, unknown install date",Normal,0,3,3,100,0,From main system,Good,Good,"Suspended, no insulation (assumed)",Fully double glazed,Average,Average,"Solid brick, as built, partial insulation (assumed)",Average,Average,"Pitched, 200 mm loft insulation",Good,Good,"Boiler and radiators, mains gas",Good,Good,"Programmer, no room thermostat",Very Poor,Very Poor,Low energy lighting in all fixed outlets,Very Good,Very Good,mains gas (not community),Owner-occupied
40,10000777950,250000,2021-03-01,2021-02-24T00:00:00Z,"98 FORD ROAD, DAGENHAM",House,N,Barking and Dagenham,Dagenham and Rainham,DAGENHAM,England and Wales: 1930-1949,RM10 9JP,C,B,70,84,End-Terrace,marketed sale,68,82,189,88,2.6,33,1.3,64,64,448,410,96,67,78,off-peak 7 hour,Y,double glazing installed before 2002,Normal,0,4,4,100,0,From main system,Good,Good,"Suspended, no insulation (assumed)",Mostly double glazing,Poor,Poor,"Cavity wall, filled cavity",Average,Average,"Pitched, 300 mm loft insulation",Very Good,Very Good,"Boiler and radiators, mains gas",Good,Good,"Programmer, room thermostat and TRVs",Good,Good,Low energy lighting in all fixed outlets,Very Good,Very Good,mains gas (not community),Owner-occupied
42,10000220896,180000,2021-03-11,2021-01-27T00:00:00Z,"140 IBSCOTT CLOSE, DAGENHAM",Flat,N,Barking and Dagenham,Dagenham and Rainham,DAGENHAM,England and Wales: 1976-1982,RM10 9YU,D,C,64,79,Semi-Detached,rental,59,65,327,275,2.5,55,2.1,39,46,441,215,184,161,45,standard tariff,N,"double glazing, unknown install date",Normal,0,2,2,100,0,"Electric immersion, off-peak",Poor,Poor,"Solid, no insulation (assumed)",Fully double glazed,Average,Average,"Cavity wall, filled cavity",Good,Good,(another dwelling above),N/A,N/A,"Room heaters, electric",Very Poor,Poor,Programmer and appliance thermostats,Good,Good,Low energy lighting in all fixed outlets,Very Good,Very Good,electricity (not community),Rented (private)
43,10000084562,435000,2021-02-25,2021-06-16T00:00:00Z,"153 WESTROW DRIVE, BARKING",House,N,Barking and Dagenham,Barking,BARKING,England and Wales: 1900-1929,IG11 9BW,E,B,40,83,Semi-Detached,marketed sale,35,80,375,85,6.5,66,1.5,76,77,1226,434,127,75,99,off-peak 7 hour,Y,not defined,Normal,0,5,2,100,1,"From main system, no cylinder thermostat",Poor,Poor,"Suspended, no insulation (assumed)",Single glazed,Very Poor,Very Poor,"Solid brick, as built, no insulation (assumed)",Very Poor,Very Poor,"Pitched, 100 mm loft insulation",Average,Average,"Room heaters, mains gas, Room heaters, mains gas",Average,Average,Appliance thermostats,Good,Good,Low energy lighting in all fixed outlets,Very Good,Very Good,mains gas (not community),Owner-occupied
44,10000220352,335000,2021-03-08,2021-05-19T00:00:00Z,"31 PURLAND CLOSE, DAGENHAM",Bungalow,N,Barking and Dagenham,Dagenham and Rainham,DAGENHAM,England and Wales: 1930-1949,RM8 1AS,F,C,32,77,Semi-Detached,marketed sale,28,73,618,164,5.8,109,1.6,46,46,774,480,340,62,53,off-peak 7 hour,Y,"double glazing, unknown install date",Normal,0,3,3,100,0,"From main system, no cylinder thermostat",Poor,Poor,"Suspended, no insulation (assumed)",Fully double glazed,Average,Average,"Solid brick, as built, no insulation (assumed)",Very Poor,Very Poor,"Pitched, no insulation (assumed)",Very Poor,Very Poor,"Boiler and radiators, mains gas",Good,Good,Programmer and room thermostat,Average,Average,Low energy lighting in all fixed outlets,Very Good,Very Good,mains gas (not community),Owner-occupied
45,10000663284,518000,2020-10-20,2021-06-30T00:00:00Z,"57 LAUREL CRESCENT, RUSH GREEN, ROMFORD",House,N,Barking and Dagenham,Dagenham and Rainham,ROMFORD,England and Wales: 1930-1949,RM7 0RU,C,C,69,78,End-Terrace,marketed sale,63,72,190,135,4,34,2.9,106,106,699,699,92,62,120,off-peak 7 hour,Y,"double glazing, unknown install date",Normal,1,6,6,77,0,From main system,Good,Good,"Solid, no insulation (assumed)",Fully double glazed,Average,Average,"Cavity wall, filled cavity",Average,Average,"Pitched, no insulation (assumed)",Very Poor,Very Poor,"Boiler and radiators, mains gas",Good,Good,"Programmer, room thermostat and TRVs",Good,Good,Low energy lighting in 77% of fixed outlets,Very Good,Very Good,mains gas (not community),Owner-occupied
46,10000108503,305000,2021-01-12,2021-04-09T00:00:00Z,"163 BEAM AVENUE, DAGENHAM",House,N,Barking and Dagenham,Dagenham and Rainham,DAGENHAM,England and Wales: 1930-1949,RM10 9BP,D,B,64,85,Mid-Terrace,marketed sale,61,83,259,92,2.7,46,1,51,51,487,381,82,57,59,off-peak 7 hour,Y,"double glazing, unknown install date",Normal,1,5,5,100,0,From main system,Good,Good,"Suspended, no insulation (assumed)",Fully double glazed,Average,Average,"Solid brick, as built, no insulation (assumed)",Very Poor,Very Poor,"Pitched, no insulation (assumed)",Very Poor,Very Poor,"Boiler and radiators, mains gas",Good,Good,Programmer and room thermostat,Average,Average,Low energy lighting in all fixed outlets,Very Good,Very Good,mains gas (not community),Owner-occupied
47,10000669675,360000,2021-01-12,2021-04-09T00:00:00Z,"54 WELLINGTON DRIVE, DAGENHAM",House,N,Barking and Dagenham,Dagenham and Rainham,DAGENHAM,England and Wales: 1967-1975,RM10 9XS,D,B,65,85,End-Terrace,marketed sale,59,83,234,83,3.5,41,1.3,68,68,619,422,85,57,85,off-peak 10 hour,Y,"double glazing, unknown install date",Normal,2,5,5,100,0,From main system,Good,Good,"Solid, no insulation (assumed)",Fully double glazed,Average,Average,"Cavity wall, as built, no insulation (assumed)",Poor,Poor,"Flat, limited insulation (assumed)",Very Poor,Very Poor,"Boiler and radiators, mains gas",Good,Good,"Programmer, room thermostat and TRVs",Good,Good,Low energy lighting in all fixed outlets,Very Good,Very Good,mains gas (not community),Owner-occupied
